trade_date,symbol,action,s60_shares,entry_price,in_risk,epc_shares,exit_price,fwd_5d,fwd_10d,fwd_20d
2026-05-27,600584,SKIPPED_BUY,100.0,86.16,False,,,-0.069986,-0.140552,0.20903
2026-06-04,600584,SKIPPED_BUY,800.0,80.08,False,,,-0.101523,0.036838,0.293082
2026-06-09,002463,SKIPPED_BUY,600.0,141.09,False,,,-0.003189,0.016018,0.082997
2026-06-09,688146,SKIPPED_BUY,100.0,250.82,False,,,0.287776,0.0,0.395383
2026-06-11,600522,SKIPPED_BUY,1100.0,49.27,False,,,0.147757,0.243962,0.231581
2026-06-18,300285,SKIPPED_BUY,900.0,89.53,False,,,0.14833,0.152463,0.152463
2026-06-24,002008,SKIPPED_BUY,300.0,152.23,False,,,-0.013926,-0.013926,-0.013926
2026-06-24,600392,SKIPPED_BUY,1300.0,31.6,False,,,-0.057911,-0.057911,-0.057911
2026-06-26,000021,SKIPPED_BUY,1800.0,53.51,False,,,0.201084,0.201084,0.201084
2024-01-04,600795,FORCED_SELL,,,True,12600.0,4.35,-0.034483,-0.045977,0.011494
2024-01-15,002855,FORCED_SELL,,,True,200.0,33.21,-0.056007,-0.153568,-0.26227
2024-01-15,600030,FORCED_SELL,,,True,2600.0,19.48,-0.017967,0.056468,0.077515
2024-01-19,601857,FORCED_SELL,,,True,7300.0,7.14,0.190476,0.134454,0.238095
2024-01-29,000338,FORCED_SELL,,,True,3500.0,15.02,0.005326,0.083888,0.090546
2024-01-29,002415,FORCED_SELL,,,True,1000.0,31.5,-0.012698,0.076508,0.127619
2024-02-01,600309,FORCED_SELL,,,True,400.0,70.21,0.061672,0.105541,0.099274
2024-02-07,300502,FORCED_SELL,,,True,500.0,52.7,0.139658,0.139469,0.286528
